ID,County,lon,lat,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
20,隆尧县,114.5184929,37.29285791,6.585009218,6.774506331,6.964003444,7.153500557,7.34299767,7.532494784,6.75021959,6.975004392,6.978746177,7.072427229
21,任县,114.6994974,37.48875873,6.264390665,6.43904906,6.613707455,6.78836585,6.963024246,7.137682641,7.490093121,7.503036437,7.387366255,7.446389677
22,南和县,114.7766161,37.35590801,5.672438942,5.80042508,5.928411219,2.477150917,6.184383496,6.312369635,6.483187391,6.525060935,6.54691137,6.67490184
23,宁晋县,114.5114623,37.07668595,6.132781763,6.290368316,6.447954869,6.605541422,6.763127975,6.920714528,6.793962787,7.210516457,7.265994675,7.353003802
24,巨鹿县,114.5114623,37.07668595,5.633076673,5.832335985,6.031595297,6.23085461,6.430113922,6.629373234,5.784023484,5.813219643,5.93852083,6.055082375
25,新河县,114.9459695,37.63074153,5.841052463,6.041530163,6.242007864,6.442485565,6.642963265,6.843440966,5.486628734,5.500933158,5.633431281,5.749830462
26,广宗县,115.0435874,37.22708833,5.313996249,5.493496869,5.672997489,5.852498108,6.031998728,6.211499348,5.580952381,5.61029842,5.610433071,5.746589817
27,平乡县,115.0365817,37.06909639,5.221878733,4.881974417,3.584984958,5.113420118,3.564085475,3.507615412,5.832091522,5.888110295,6.154616908,6.256033453
28,威县,115.6743936,37.0463754,2.20547422,3.268461953,2.71122708,2.316443556,2.141058655,2.600417246,5.430040872,5.472013604,5.490277778,5.697131369
29,清河县,115.2736176,36.98158161,2.012568031,3.232002536,1.801328525,3.175905455,1.671842124,1.744646275,7.180600796,7.293096321,7.266169451,7.336506024
30,临西县,114.5094739,36.86112734,6.285992088,6.464335655,6.642679222,6.821022789,6.999366356,7.177709922,5.851800612,6.000659332,6.021300542,6.190504202
31,南宫市,115.4145291,37.3640694,7.117896522,5.974675442,6.506079501,6.355201747,6.861481481,7.130441187,5.163257736,5.225866271,5.247153598,5.465265232
32,沙河市,115.5076294,36.87675997,4.828899537,4.907346969,4.985794401,5.064241834,5.142689266,5.221136698,4.579309759,4.59441292,4.950031361,5.065240642
33,高阳县,115.6954074,41.67601588,4.136205534,4.805530803,3.435960075,3.040935673,4.385677168,5.661517114,5.782180851,5.895039858,6.035410633,6.136252584
34,张家口市,114.8925722,40.7732372,4.113771319,4.163101789,4.212432259,4.261762729,4.311093199,4.360423669,1.25,1.047619048,4.209677419,2.845002125
35,宣化县,115.7854472,38.70625773,0.335820896,1.354334392,0.000952381,0.30009357,0.000248756,0.245525885,0.702294712,0.536131527,0.369968343,0.203805159
36,张北县,114.7263751,41.16494362,0.825075196,0.823264348,0.821453499,0.81964265,0.817831802,0.816020953,0.683965534,1.074399763,1.562113721,1.092156656
37,康保县,115.1054444,40.61459189,0.700539368,0.695111416,0.689683463,0.684255511,0.678827559,0.673399607,1.239224068,0.983498976,1.469996162,1.278241335
38,沽源县,114.6063558,41.85863688,1.974539433,0.960859789,0.640512079,0.006994012,0.51316726,0.69022823,1.323904259,1.035992801,1.199596774,0.810157195
39,尚义县,114.5954006,39.84708864,0.714854781,0.710792303,0.706729825,0.702667348,0.69860487,0.694542392,1.086185044,0.979131886,1.439875065,0.870750481
